X.clade_name	clade_taxid	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p2	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p5	p6	p7	p8	p9
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	2|74201|203494|48461|1647988|239934|239935	  108650	   3232	  240543	NA	  30054	   80054	    4541	   5796	NA	  129066	NA	  743539	   97168	NA	  49976	    1530	NA	 380188	  22578	  27694	NA	NA	  158778	   3233	 118145	NA	 143495	NA	  87549	NA	    947	NA	  125897	   67373	   1979	  32600	NA	  29060	  104914	  143603	    352	   6586	NA	  50313	  642636	 156452	NA	  508449	    2990
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94	2|1239|||||1262989	   90911	  24635	    2628	NA	NA	    6572	    1247	   3666	NA	   59633	   8702	   26700	NA	   29099	 131583	NA	NA	NA	   4287	NA	NA	NA	    2495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   13313	NA	NA	NA	NA	NA	NA	NA	NA	NA	  11760	NA	   7124	    8151	      60	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	2|1239|186801|186802|186803|841|166486	  149554	  67079	   83562	    3115	  24976	NA	  237048	    392	  226833	    2098	  28090	   38351	   17709	NA	  59884	NA	  11633	NA	    844	  20282	   7933	  16738	NA	   6654	NA	  33652	NA	   1009	NA	1488876	  32570	   8351	  120834	    3766	  17145	  23697	NA	NA	  163664	  133261	    157	  25438	  64861	   1371	  144723	NA	  238307	  272746	  121144
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	2|1239|186801|186802|186806|1730|39490	  114639	   3951	   49539	   38650	  64581	   52418	   29004	   4429	NA	   15869	   3807	  156161	   49071	  126371	NA	   66644	   4187	   5060	NA	   1758	   1628	  12205	   35771	   2832	    307	  11445	   3962	  10435	   3349	NA	   2465	  10569	   12542	   28829	    831	NA	  20617	NA	   10771	    3917	    103	  21679	  16439	   1076	  163554	   9253	   18639	   75549	   25875
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	2|976|200643|171549|815|816|357276	  174741	  23759	  948768	    9562	NA	NA	NA	  32767	 4918224	   92942	  58592	NA	  242220	  259894	NA	 1334795	   3646	   2320	  46693	   5835	NA	  30405	   55761	  23523	  65583	NA	   8901	NA	  41675	NA	1038234	   1421	    1789	    2314	NA	NA	   7406	NA	NA	  173940	   2397	NA	1072928	   4145	NA	 408578	 2315734	  460000	 2045124
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	2|1239|186801|186802|186803|572511|40520	  100079	  99883	  183616	   57691	 103380	  227552	   41036	 304350	NA	  142497	  84757	    1881	  562456	  197579	  63927	   28452	  25374	   9332	   5680	    482	   3458	  15340	   73948	  23831	   4811	   3679	  10913	   3376	  14939	NA	  23821	   9138	    2698	  482043	   3193	   1094	  27837	NA	   25752	   11394	    710	  37257	  58705	  14360	  112826	 234039	  146171	   79292	   20676
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	2|1239|186801|186802|186803|572511|33039	   80555	  25420	   27053	    9634	 144482	   69106	  132549	 163141	NA	  160738	 100045	  302762	  281950	   52325	  48028	  143875	  36726	  53196	NA	   2001	   9479	 104463	   44020	   6364	  38077	  24104	   3625	 102692	   8614	NA	  11016	  53508	    1789	  748566	   3804	    216	  13133	NA	    3309	NA	   8002	 129760	  25557	NA	  482374	 456953	  479753	  293031	   48782
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_An249	2|1239|186801|186802|186803|572511|1965603	   87799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167	2|1239|186801|186802|31979|1485|1262777	   45509	   3479	    6651	NA	   8675	   14839	NA	   8173	NA	    8882	   1148	NA	NA	NA	  13278	    9587	    350	NA	NA	    803	NA	NA	   18576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	   1351	NA	NA	  26018	   12203	    3354	  266582
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	2|976|200643|171549|815|816|47678	   98974	  45721	NA	NA	  88733	NA	   96664	 155150	NA	NA	  80837	  500094	   97563	 4148252	NA	NA	NA	  38525	  32977	  83371	NA	NA	   48165	  81082	  17318	   3413	  79905	NA	  61093	NA	  10433	NA	  121527	   26708	  22332	  15291	   4154	   2201	NA	  458520	  55015	  35265	  83238	  15480	   21578	  31126	   18625	  118538	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	2|1239|186801|186802|186803|189330|39486	   61257	  26708	   37077	   46397	  78393	   44910	   38743	  71734	NA	   39907	  29268	  102007	  122170	   62993	  16938	   59025	  11995	  14337	   8052	   2958	  27614	  52041	   31895	   7611	  11058	   7851	  29605	  25532	  14408	  26462	  12238	  29936	   30503	  141806	   5059	NA	  14913	    412	    4649	   18168	   3434	  38327	  26242	  13254	  147756	  61044	   86638	   86698	   40998
