X.clade_name	clade_taxid	ERR011273_profile_count.txt	ERR011275_profile_count.txt	ERR011277_profile_count.txt	ERR011279_profile_count.txt	ERR011281_profile_count.txt	ERR011283_profile_count.txt	ERR011285_profile_count.txt	ERR011287_profile_count.txt	ERR011289_profile_count.txt	ERR011291_profile_count.txt	ERR011295_profile_count.txt	ERR011297_profile_count.txt	ERR011299_profile_count.txt	ERR011303_profile_count.txt	ERR011307_profile_count.txt	ERR011313_profile_count.txt	ERR011321_profile_count.txt	ERR011327_profile_count.txt	ERR011329_profile_count.txt	ERR011331_profile_count.txt	ERR011333_profile_count.txt	ERR011335_profile_count.txt	ERR011341_profile_count.txt	ERR2809_profile_count.txt	ERR2838_profile_count.txt	ERR2849_profile_count.txt	ERR2859_profile_count.txt	ERR2881_profile_count.txt	ERR2951_profile_count.txt	ERR2996_profile_count.txt	ERR3003_profile_count.txt	ERR3016_profile_count.txt	ERR3019_profile_count.txt	ERR3028_profile_count.txt	ERR3068_profile_count.txt	ERR3112_profile_count.txt	ERR3119_profile_count.txt	ERR3162_profile_count.txt	ERR3163_profile_count.txt	ERR3188_profile_count.txt	ERR3210_profile_count.txt	ERR3216_profile_count.txt	ERR3217_profile_count.txt	ERR3250_profile_count.txt	ERR3264_profile_count.txt	ERR3283_profile_count.txt
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	   1176	   5216	  73341	  60996	     89	  10774	  12067	 201269	   2956	NA	NA	     35	  85598	   8877	   2193	NA	  66536	   3529	  11848	  30872	   9081	  24525	   1957	    9773	  303895	    5594	  229394	   3361	NA	    2549	   21849	  430528	   36523	  27358	  12939	NA	  125468	 119952	  126236	  55625	    7444	   12652	NA	  378248	   61406	  261488
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	    856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 144683	NA	NA	NA	NA	  10398	  23620	NA	NA	NA	NA	NA	  108650	  743539	  158778	   67373	 156452	  642636	NA	  508449	NA	    1530	  49976	NA	    2990	   97168	   5796	NA	   3232	  240543	   80054	  30054	    4541	NA	  129066
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	    220	   2352	  24813	   3271	NA	   2049	   2402	   9143	   3553	   3987	  19189	  45933	   5802	   3145	   2173	   3574	    562	  25632	  32638	   6670	   9510	NA	   3038	   46310	  154707	    6992	   80022	  14403	   49783	   40505	   20346	   17090	   28162	  28796	  17790	   30603	   29045	  10519	  184344	  29146	   71332	   50002	  23617	   31513	  104326	  275698
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	    155	NA	NA	    276	NA	NA	NA	NA	NA	NA	NA	   1090	    138	NA	NA	NA	NA	    167	    415	    138	NA	NA	NA	NA	NA	NA	NA	  18660	NA	NA	NA	NA	    8896	NA	NA	NA	NA	    683	NA	NA	    1082	    2074	NA	NA	  160266	NA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	2198747	   5804	 293345	 215408	 835944	1205466	4771103	NA	 228597	   5425	NA	  15199	3386391	NA	NA	    200	NA	  36508	   4286	  70929	NA	  76957	 622776	NA	NA	NA	  328291	   6565	NA	   15059	NA	  113485	NA	NA	  11974	NA	 7277214	  36717	    2721	   2155	NA	NA	NA	 7453514	  376737	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	 435339	 818566	 441796	 956010	  66968	 252007	 338221	 447335	 214960	 223664	 813482	 237801	 376750	 330472	 207400	 206604	  84375	 733548	 606914	 569294	1476356	 183557	 985965	 3293028	 6200196	 2105927	 2748725	1145969	 1561452	 2284466	 1601235	 2637310	 1335860	2861011	1785215	 1800651	 1922172	1175786	  557811	 924710	 2178840	 1974657	1955231	 1545671	  560192	 2893709
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	 330564	3676783	 429350	 849107	 313385	 463744	 194887	 298738	 223844	 469209	 723321	 212497	 469788	 165075	 425679	 381397	  77784	 303740	 399218	 761401	1259829	 460971	 788922	 1334922	 4653159	 1758391	 5363696	2561102	 4047017	 4511061	 6688431	 3277169	 3059324	1127356	1472424	 6804873	 4020929	3348165	 1759232	3163312	 4719963	 2360450	3138402	 3829090	 4677243	 3899279
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	 366509	 360385	 554055	1587168	 449547	  76972	1672070	5199467	1394005	1655740	2983298	2411946	 395696	6054396	6895613	3923706	2564874	1877241	2510010	1028440	1004604	1061018	1332482	  946267	10527818	 3553897	 3182923	1275857	 3823323	 4299417	 1231094	 5197571	 3579099	 873443	2062895	 3825674	 4396779	 704983	10974765	1082037	 8121106	 3320444	1483108	 1150803	 9262141	 2655241
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	 113900	   7008	   2758	  88550	   5316	   3653	 137001	  21163	  76778	 301181	 359461	  10715	  61918	   5952	 541122	NA	 134913	  99306	 526995	  48577	 100112	  44936	 352344	  392924	 1719014	  517490	  804288	 307386	  548637	  146454	  573435	  246979	 2356609	   2737	 747334	  402877	  650046	 145884	 1543755	 328004	  945928	 1637640	 801316	  102776	  194892	  382636
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	  51838	  75722	  39324	  65791	NA	   7526	   9907	  68929	 142424	  69184	  39631	 353093	  16746	   2492	  11707	   7059	  30311	  32837	 122723	  35081	  45693	  31134	 110087	  330315	   38647	  157741	  431887	 134154	   85603	   53303	  117384	   38438	   56371	 133081	 110202	   45936	  125390	 179486	  209157	 353429	    9400	    8945	  82827	   33625	  404300	  184019
